timestamp,open,high,low,close,volume
2024-09-17,720.0,785.0,720.0,750.0,4137800.0
2024-09-18,760.0,765.0,750.0,755.0,1604400.0
2024-09-19,755.0,775.0,745.0,755.0,2030900.0
2024-09-20,755.0,760.0,740.0,745.0,781400.0
2024-09-23,745.0,770.0,735.0,755.0,1627600.0
2024-09-24,755.0,765.0,745.0,750.0,800300.0
2024-09-25,750.0,845.0,745.0,765.0,21992300.0
2024-09-26,765.0,815.0,760.0,765.0,6070400.0
2024-09-27,765.0,825.0,765.0,815.0,6929500.0
2024-09-30,820.0,905.0,820.0,845.0,27745000.0
2024-10-01,850.0,860.0,800.0,830.0,5738900.0
2024-10-02,830.0,840.0,770.0,780.0,5647300.0
2024-10-03,780.0,795.0,760.0,770.0,2724100.0
2024-10-04,770.0,780.0,750.0,750.0,1446700.0
2024-10-07,760.0,765.0,680.0,725.0,3721200.0
2024-10-08,725.0,740.0,715.0,720.0,2111800.0
2024-10-09,735.0,735.0,720.0,720.0,1396300.0
2024-10-10,725.0,735.0,710.0,710.0,1260800.0
2024-10-11,715.0,725.0,710.0,725.0,622700.0
2024-10-14,725.0,730.0,710.0,715.0,1596500.0
2024-10-15,720.0,730.0,710.0,725.0,776400.0
2024-10-16,725.0,730.0,720.0,725.0,814300.0
2024-10-17,725.0,740.0,725.0,725.0,1114700.0
2024-10-18,725.0,735.0,720.0,725.0,965900.0
2024-10-21,725.0,730.0,720.0,725.0,758200.0
2024-10-22,740.0,740.0,710.0,720.0,1519800.0
2024-10-23,720.0,720.0,705.0,710.0,1455000.0
2024-10-24,710.0,710.0,700.0,705.0,1517600.0
2024-10-25,705.0,725.0,690.0,700.0,994900.0
2024-10-28,700.0,705.0,685.0,690.0,1643200.0
2024-10-29,690.0,725.0,685.0,700.0,1050400.0
2024-10-30,700.0,705.0,690.0,695.0,561500.0
2024-10-31,710.0,715.0,690.0,690.0,249400.0
2024-11-01,690.0,695.0,665.0,680.0,776200.0
2024-11-04,680.0,680.0,620.0,650.0,1532300.0
2024-11-05,650.0,665.0,630.0,640.0,786600.0
2024-11-06,645.0,660.0,635.0,635.0,454000.0
2024-11-07,635.0,650.0,620.0,620.0,597200.0
2024-11-08,615.0,635.0,605.0,605.0,774200.0
2024-11-11,605.0,635.0,600.0,605.0,824000.0
2024-11-12,610.0,625.0,600.0,620.0,385700.0
2024-11-13,620.0,630.0,615.0,620.0,384500.0
2024-11-14,630.0,635.0,605.0,605.0,343700.0
2024-11-15,625.0,625.0,600.0,600.0,285500.0
2024-11-18,600.0,610.0,590.0,590.0,432700.0
2024-11-19,590.0,615.0,590.0,595.0,553200.0
2024-11-20,595.0,640.0,595.0,610.0,503900.0
2024-11-21,615.0,630.0,605.0,610.0,418500.0
2024-11-22,610.0,615.0,605.0,610.0,303000.0
2024-11-25,610.0,625.0,600.0,610.0,601700.0
2024-11-26,610.0,620.0,600.0,600.0,538200.0
2024-11-28,605.0,615.0,600.0,610.0,532700.0
2024-11-29,610.0,610.0,600.0,605.0,488300.0
2024-12-02,605.0,615.0,600.0,605.0,782200.0
2024-12-03,605.0,610.0,600.0,600.0,299700.0
2024-12-04,605.0,640.0,600.0,635.0,761700.0
2024-12-05,635.0,640.0,615.0,620.0,484700.0
2024-12-06,620.0,640.0,620.0,630.0,248300.0
2024-12-09,630.0,675.0,630.0,660.0,1197100.0
2024-12-10,670.0,675.0,625.0,640.0,2070700.0
2024-12-11,640.0,650.0,630.0,640.0,422500.0
2024-12-12,645.0,655.0,630.0,640.0,248400.0
2024-12-13,645.0,645.0,630.0,635.0,207100.0
2024-12-16,635.0,635.0,605.0,610.0,755400.0
2024-12-17,610.0,620.0,600.0,605.0,378600.0
2024-12-18,605.0,625.0,600.0,605.0,292100.0
2024-12-19,595.0,605.0,590.0,590.0,939800.0
