timestamp,open,high,low,close,volume
2024-08-14,52.0,53.0,51.0,53.0,1797300.0
2024-08-15,53.0,54.0,52.0,54.0,1265900.0
2024-08-16,54.0,56.0,52.0,55.0,1617700.0
2024-08-19,55.0,60.0,55.0,58.0,6273900.0
2024-08-20,58.0,59.0,56.0,58.0,5703900.0
2024-08-21,58.0,67.0,57.0,66.0,44878100.0
2024-08-22,68.0,68.0,61.0,61.0,23729800.0
2024-08-23,62.0,64.0,61.0,61.0,9018100.0
2024-08-26,62.0,67.0,61.0,63.0,14647500.0
2024-08-27,64.0,67.0,63.0,64.0,17408100.0
2024-08-28,65.0,65.0,62.0,62.0,5530600.0
2024-08-29,63.0,64.0,61.0,61.0,6462800.0
2024-08-30,62.0,63.0,59.0,60.0,6557500.0
2024-09-02,60.0,61.0,58.0,59.0,5369200.0
2024-09-03,59.0,61.0,58.0,59.0,1934300.0
2024-09-04,61.0,63.0,59.0,62.0,9088600.0
2024-09-05,63.0,65.0,62.0,63.0,10819000.0
2024-09-06,64.0,68.0,63.0,64.0,29646800.0
2024-09-09,65.0,68.0,64.0,64.0,10767700.0
2024-09-10,64.0,66.0,63.0,64.0,3515000.0
2024-09-11,64.0,64.0,62.0,62.0,4889000.0
2024-09-12,63.0,64.0,60.0,60.0,11822500.0
2024-09-13,60.0,62.0,60.0,60.0,2763300.0
2024-09-17,60.0,62.0,60.0,61.0,2410200.0
2024-09-18,61.0,64.0,61.0,63.0,2918900.0
2024-09-19,63.0,64.0,61.0,62.0,8197100.0
2024-09-20,62.0,64.0,61.0,63.0,8310400.0
2024-09-23,63.0,66.0,62.0,66.0,16650000.0
2024-09-24,67.0,67.0,64.0,65.0,10865200.0
2024-09-25,65.0,76.0,64.0,71.0,85151400.0
2024-09-26,72.0,76.0,69.0,71.0,35660000.0
2024-09-27,71.0,73.0,67.0,69.0,20879400.0
2024-09-30,69.0,72.0,67.0,67.0,17437500.0
2024-10-01,67.0,68.0,64.0,65.0,12763600.0
2024-10-02,65.0,71.0,64.0,65.0,30362500.0
2024-10-03,66.0,67.0,64.0,65.0,4641000.0
2024-10-04,66.0,67.0,64.0,64.0,12842800.0
2024-10-07,64.0,65.0,63.0,63.0,4251800.0
2024-10-08,64.0,64.0,60.0,62.0,11616700.0
2024-10-09,62.0,62.0,60.0,62.0,4347800.0
2024-10-10,62.0,62.0,60.0,60.0,4569000.0
2024-10-11,61.0,63.0,61.0,62.0,5611800.0
2024-10-14,62.0,63.0,60.0,61.0,7463300.0
2024-10-15,55.0,62.0,55.0,62.0,8114900.0
2024-10-16,62.0,63.0,60.0,62.0,4991400.0
2024-10-17,62.0,64.0,61.0,62.0,5305100.0
2024-10-18,62.0,63.0,61.0,62.0,4204700.0
2024-10-21,62.0,63.0,60.0,63.0,4683700.0
2024-10-22,63.0,63.0,61.0,62.0,9365200.0
2024-10-23,62.0,66.0,61.0,65.0,13136500.0
2024-10-24,65.0,66.0,64.0,65.0,12288000.0
2024-10-25,65.0,68.0,64.0,65.0,24786800.0
2024-10-28,65.0,68.0,64.0,67.0,12529300.0
2024-10-29,67.0,69.0,66.0,67.0,7487400.0
2024-10-30,68.0,68.0,65.0,66.0,6077300.0
2024-10-31,67.0,67.0,64.0,65.0,4729400.0
2024-11-01,65.0,65.0,58.0,61.0,18230300.0
2024-11-04,62.0,62.0,59.0,61.0,6889900.0
2024-11-05,61.0,61.0,59.0,60.0,5364000.0
2024-11-06,60.0,61.0,58.0,60.0,3593300.0
2024-11-07,59.0,63.0,57.0,61.0,14330500.0
2024-11-08,61.0,62.0,59.0,59.0,4673100.0
2024-11-11,60.0,61.0,59.0,60.0,4398400.0
2024-11-12,61.0,61.0,59.0,60.0,2773300.0
2024-11-13,59.0,63.0,59.0,60.0,5831200.0
2024-11-14,61.0,61.0,59.0,60.0,6833500.0
2024-11-15,60.0,61.0,58.0,59.0,4256300.0
2024-11-18,60.0,60.0,58.0,58.0,3232300.0
